"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Miami-Dade County, FL"	"12086"	605	5464741	11.07
	"Monroe County, FL"	"12087"	22	156090	14.09
	"Nassau County, FL"	"12089"	27	163343	16.53
	"Okaloosa County, FL"	"12091"	63	404140	15.59
	"Orange County, FL"	"12095"	292	2663342	10.96
	"Osceola County, FL"	"12097"	85	688195	12.35
	"Palm Beach County, FL"	"12099"	454	2914960	15.57
	"Pasco County, FL"	"12101"	155	1038011	14.93
	"Pinellas County, FL"	"12103"	337	1931367	17.45
	"Polk County, FL"	"12105"	191	1352632	14.12
	"Putnam County, FL"	"12107"	23	145741	15.78
	"St. Johns County, FL"	"12109"	55	478899	11.48
	"St. Lucie County, FL"	"12111"	95	620013	15.32
	"Santa Rosa County, FL"	"12113"	44	344769	12.76
	"Sarasota County, FL"	"12115"	177	831688	21.28
	"Seminole County, FL"	"12117"	136	918138	14.81
	"Sumter County, FL"	"12119"	57	249161	22.88
	"Suwannee County, FL"	"12121"	18	87984	Unreliable
	"Volusia County, FL"	"12127"	179	1068056	16.76
	"Walton County, FL"	"12131"	15	134265	Unreliable
	"Baldwin County, GA"	"13009"	11	90050	Unreliable
	"Barrow County, GA"	"13013"	18	156187	Unreliable
	"Bartow County, GA"	"13015"	14	208861	Unreliable
	"Bibb County, GA"	"13021"	40	305622	13.09
	"Bryan County, GA"	"13029"	11	73290	Unreliable
	"Bulloch County, GA"	"13031"	23	150871	15.24
	"Butts County, GA"	"13035"	13	47876	Unreliable
	"Camden County, GA"	"13039"	10	106052	Unreliable
	"Carroll County, GA"	"13045"	35	234073	14.95
	"Catoosa County, GA"	"13047"	19	132948	Unreliable
	"Chatham County, GA"	"13051"	59	579583	10.18
	"Cherokee County, GA"	"13057"	56	489262	11.45
	"Clarke County, GA"	"13059"	25	251771	9.93
	"Clayton County, GA"	"13063"	55	564615	9.74
	"Cobb County, GA"	"13067"	188	1503904	12.50
	"Coffee County, GA"	"13069"	13	86026	Unreliable
	"Columbia County, GA"	"13073"	37	299029	12.37
	"Coweta County, GA"	"13077"	37	283640	13.04
	"Crisp County, GA"	"13081"	12	45457	Unreliable
	"DeKalb County, GA"	"13089"	199	1493574	13.32
	"Dougherty County, GA"	"13095"	21	179519	11.70
	"Douglas County, GA"	"13097"	47	286106	16.43
	"Effingham County, GA"	"13103"	13	118694	Unreliable
	"Emanuel County, GA"	"13107"	10	45165	Unreliable
	"Fannin County, GA"	"13111"	13	50222	Unreliable
	"Fayette County, GA"	"13113"	36	224176	16.06
	"Floyd County, GA"	"13115"	19	194173	Unreliable
	"Forsyth County, GA"	"13117"	30	448976	6.68
	"Fulton County, GA"	"13121"	276	2064759	13.37
	"Gilmer County, GA"	"13123"	15	60407	Unreliable
	"Glynn County, GA"	"13127"	25	169784	14.72
	"Gordon County, GA"	"13129"	13	113993	Unreliable
	"Gwinnett County, GA"	"13135"	187	1827395	10.23
	"Hall County, GA"	"13139"	47	395972	11.87
	"Henry County, GA"	"13151"	59	447581	13.18
	"Houston County, GA"	"13153"	30	305601	9.82
	"Jackson County, GA"	"13157"	15	132134	Unreliable
	"Jefferson County, GA"	"13163"	11	31564	Unreliable
	"Laurens County, GA"	"13175"	11	94846	Unreliable
	"Lowndes County, GA"	"13185"	19	230117	Unreliable
	"Madison County, GA"	"13195"	10	58126	Unreliable
	"Monroe County, GA"	"13207"	10	54419	Unreliable
	"Muscogee County, GA"	"13215"	56	391543	14.30
	"Newton County, GA"	"13217"	40	215077	18.60
	"Oconee County, GA"	"13219"	12	74866	Unreliable
	"Paulding County, GA"	"13223"	42	315270	13.32
	"Polk County, GA"	"13233"	10	83861	Unreliable
	"Richmond County, GA"	"13245"	56	403447	13.88
	"Rockdale County, GA"	"13247"	27	179667	15.03
	"Spalding County, GA"	"13255"	26	130186	19.97
	"Stephens County, GA"	"13257"	13	51641	Unreliable
	"Sumter County, GA"	"13261"	14	60236	Unreliable
	"Thomas County, GA"	"13275"	13	90027	Unreliable
	"Tift County, GA"	"13277"	10	81426	Unreliable
	"Toombs County, GA"	"13279"	11	54195	Unreliable
	"Troup County, GA"	"13285"	21	139791	15.02
	"Walker County, GA"	"13295"	25	136835	18.27
	"Walton County, GA"	"13297"	30	181784	16.50
	"Ware County, GA"	"13299"	16	71609	Unreliable
	"Wayne County, GA"	"13305"	12	59921	Unreliable
	"Whitfield County, GA"	"13313"	27	209247	12.90
	"Worth County, GA"	"13321"	10	41281	Unreliable
	"Hawaii County, HI"	"15001"	58	398830	14.54
	"Honolulu County, HI"	"15003"	199	1981255	10.04
	"Kauai County, HI"	"15007"	15	144188	Unreliable
	"Maui County, HI"	"15009"	26	331646	7.84
	"Ada County, ID"	"16001"	126	900877	13.99
	"Bannock County, ID"	"16005"	15	169646	Unreliable
	"Bonner County, ID"	"16017"	15	86096	Unreliable
	"Bonneville County, ID"	"16019"	25	226827	11.02
	"Canyon County, ID"	"16027"	53	428397	12.37
	"Kootenai County, ID"	"16055"	63	311948	20.20
	"Nez Perce County, ID"	"16069"	19	80754	Unreliable
	"Twin Falls County, ID"	"16083"	21	168638	12.45
	"Adams County, IL"	"17001"	23	132812	17.32
	"Boone County, IL"	"17007"	14	107016	Unreliable
	"Bureau County, IL"	"17011"	12	66602	Unreliable
	"Champaign County, IL"	"17019"	41	417818	9.81
	"Clinton County, IL"	"17027"	12	75343	Unreliable
	"Coles County, IL"	"17029"	10	104322	Unreliable
	"Cook County, IL"	"17031"	1498	10414762	14.38
	"DeKalb County, IL"	"17037"	36	209261	17.20
	"DuPage County, IL"	"17043"	238	1859496	12.80
	"Grundy County, IL"	"17063"	11	101023	Unreliable
	"Henry County, IL"	"17073"	12	98608	Unreliable
	"Jackson County, IL"	"17077"	15	117154	Unreliable
	"Jefferson County, IL"	"17081"	18	76639	Unreliable
	"Kane County, IL"	"17089"	99	1066382	9.28
	"Kankakee County, IL"	"17091"	27	219613	12.29
	"Kendall County, IL"	"17093"	14	250913	Unreliable
	"Knox County, IL"	"17095"	10	101576	Unreliable
	"Lake County, IL"	"17097"	172	1406567	12.23
	"LaSalle County, IL"	"17099"	34	220709	15.40
	"Lee County, IL"	"17103"	11	68657	Unreliable
	"McDonough County, IL"	"17109"	10	61819	Unreliable
	"McHenry County, IL"	"17111"	75	616126	12.17
	"McLean County, IL"	"17113"	53	344708	15.38
	"Macon County, IL"	"17115"	22	212351	10.36
	"Macoupin County, IL"	"17117"	12	91354	Unreliable
	"Madison County, IL"	"17119"	70	531187	13.18
	"Marion County, IL"	"17121"	22	76042	28.93
	"Morgan County, IL"	"17137"	13	68075	Unreliable
	"Ogle County, IL"	"17141"	16	102336	Unreliable
	"Peoria County, IL"	"17143"	42	368017	11.41
	"Rock Island County, IL"	"17161"	42	289592	14.50
	"St. Clair County, IL"	"17163"	58	525238	11.04
	"Saline County, IL"	"17165"	14	48409	Unreliable
	"Sangamon County, IL"	"17167"	48	393951	12.18
	"Stephenson County, IL"	"17177"	20	90678	22.06
	"Tazewell County, IL"	"17179"	42	267911	15.68
	"Vermilion County, IL"	"17183"	24	156020	15.38
	"Wayne County, IL"	"17191"	10	32891	Unreliable
	"Whiteside County, IL"	"17195"	16	112654	Unreliable
	"Will County, IL"	"17197"	134	1382190	9.69
	"Williamson County, IL"	"17199"	20	134888	14.83
	"Winnebago County, IL"	"17201"	101	570651	17.70
	"Woodford County, IL"	"17203"	13	77866	Unreliable
	"Allen County, IN"	"18003"	114	743281	15.34
	"Bartholomew County, IN"	"18005"	28	163442	17.13
	"Boone County, IN"	"18011"	21	130528	16.09
	"Clark County, IN"	"18019"	32	233004	13.73
	"De Kalb County, IN"	"18033"	10	85582	Unreliable
	"Delaware County, IN"	"18035"	36	230787	15.60
	"Dubois County, IN"	"18037"	11	85110	Unreliable
	"Elkhart County, IN"	"18039"	44	408813	10.76
	"Floyd County, IN"	"18043"	11	154061	Unreliable
	"Fulton County, IN"	"18049"	12	40198	Unreliable
	"Grant County, IN"	"18053"	25	133428	18.74
	"Greene County, IN"	"18055"	16	64388	Unreliable
	"Hamilton County, IN"	"18057"	56	640120	8.75
	"Hancock County, IN"	"18059"	20	148702	13.45
	"Hendricks County, IN"	"18063"	46	324295	14.18
	"Henry County, IN"	"18065"	17	96997	Unreliable
	"Howard County, IN"	"18067"	26	164931	15.76
	"Huntington County, IN"	"18069"	17	72737	Unreliable
	"Jackson County, IN"	"18071"	11	87897	Unreliable
	"Jasper County, IN"	"18073"	15	66880	Unreliable
	"Jefferson County, IN"	"18077"	13	64507	Unreliable
	"Johnson County, IN"	"18081"	44	305879	14.38
	"Kosciusko County, IN"	"18085"	19	158298	Unreliable
	"Lagrange County, IN"	"18087"	11	78413	Unreliable
	"Lake County, IN"	"18089"	153	971486	15.75
	"La Porte County, IN"	"18091"	27	220044	12.27
	"Lawrence County, IN"	"18093"	16	91184	Unreliable
	"Madison County, IN"	"18095"	38	258794	14.68
	"Marion County, IN"	"18097"	226	1891311	11.95
	"Marshall County, IN"	"18099"	15	93054	Unreliable
	"Miami County, IN"	"18103"	10	71728	Unreliable
	"Monroe County, IN"	"18105"	36	292482	12.31
	"Montgomery County, IN"	"18107"	10	76599	Unreliable
	"Morgan County, IN"	"18109"	20	139411	14.35
	"Noble County, IN"	"18113"	14	95090	Unreliable
	"Porter County, IN"	"18127"	55	336195	16.36
	"Randolph County, IN"	"18135"	15	50004	Unreliable
	"St. Joseph County, IN"	"18141"	83	539575	15.38
	"Steuben County, IN"	"18151"	12	68600	Unreliable
	"Tippecanoe County, IN"	"18157"	32	378646	8.45
	"Vanderburgh County, IN"	"18163"	54	363337	14.86
	"Vigo County, IN"	"18167"	29	215447	13.46
	"Warrick County, IN"	"18173"	24	125028	19.20
	"Washington County, IN"	"18175"	14	55497	Unreliable
	"Wayne County, IN"	"18177"	18	132753	Unreliable
	"Wells County, IN"	"18179"	12	55933	Unreliable
	"Whitley County, IN"	"18183"	10	67205	Unreliable
	"Benton County, IA"	"19011"	11	51341	Unreliable
	"Black Hawk County, IA"	"19013"	31	265552	11.67
	"Bremer County, IA"	"19017"	11	49709	Unreliable
	"Clinton County, IA"	"19045"	12	94319	Unreliable
	"Dallas County, IA"	"19049"	12	171751	Unreliable
	"Des Moines County, IA"	"19057"	14	79156	Unreliable
	"Dubuque County, IA"	"19061"	26	194044	13.40
	"Jasper County, IA"	"19099"	15	73674	Unreliable
	"Johnson County, IA"	"19103"	28	295757	9.47
	"Lee County, IA"	"19111"	15	68910	Unreliable
	"Linn County, IA"	"19113"	61	445776	13.68
	"Marion County, IA"	"19125"	11	66294	Unreliable
	"Muscatine County, IA"	"19139"	10	85820	Unreliable
	"Polk County, IA"	"19153"	92	955875	9.62
	"Pottawattamie County, IA"	"19155"	26	186968	13.91
	"Scott County, IA"	"19163"	40	344983	11.59
	"Story County, IA"	"19169"	11	194592	Unreliable
	"Wapello County, IA"	"19179"	14	70026	Unreliable
	"Warren County, IA"	"19181"	20	99854	20.03
	"Webster County, IA"	"19187"	15	73374	Unreliable
	"Woodbury County, IA"	"19193"	36	205208	17.54
	"Barton County, KS"	"20009"	10	53251	Unreliable
	"Butler County, KS"	"20015"	23	133903	17.18
	"Douglas County, KS"	"20045"	18	240233	Unreliable
	"Harvey County, KS"	"20079"	16	69457	Unreliable
	"Johnson County, KS"	"20091"	142	1175629	12.08
	"Leavenworth County, KS"	"20103"	12	161299	Unreliable
	"McPherson County, KS"	"20113"	18	57512	Unreliable
	"Marion County, KS"	"20115"	10	24098	Unreliable
	"Reno County, KS"	"20155"	15	125730	Unreliable
	"Riley County, KS"	"20161"	14	147515	Unreliable
	"Saline County, KS"	"20169"	15	109876	Unreliable
	"Sedgwick County, KS"	"20173"	119	1025682	11.60
	"Shawnee County, KS"	"20177"	69	356333	19.36
	"Wyandotte County, KS"	"20209"	45	329119	13.67
	"Barren County, KY"	"21009"	11	87794	Unreliable
	"Boone County, KY"	"21015"	18	259264	Unreliable
	"Boyd County, KY"	"21019"	20	96111	20.81
	"Boyle County, KY"	"21021"	10	59942	Unreliable
	"Bullitt County, KY"	"21029"	21	159397	13.17
	"Calloway County, KY"	"21035"	12	77356	Unreliable
	"Campbell County, KY"	"21037"	27	184699	14.62
	"Carter County, KY"	"21043"	11	54190	Unreliable
	"Christian County, KY"	"21047"	15	142767	Unreliable
	"Clark County, KY"	"21049"	13	71865	Unreliable
	"Clay County, KY"	"21051"	12	41132	Unreliable
	"Daviess County, KY"	"21059"	24	200048	12.00
	"Fayette County, KY"	"21067"	86	640408	13.43
	"Floyd County, KY"	"21071"	15	73381	Unreliable
	"Franklin County, KY"	"21073"	16	101045	Unreliable
	"Garrard County, KY"	"21079"	10	34815	Unreliable
	"Greenup County, KY"	"21089"	14	71411	Unreliable
	"Hardin County, KY"	"21093"	30	215387	13.93
	"Henderson County, KY"	"21101"	22	92181	23.87
	"Hopkins County, KY"	"21107"	18	91451	Unreliable
	"Jefferson County, KY"	"21111"	226	1536510	14.71
	"Jessamine County, KY"	"21113"	14	105732	Unreliable
	"Johnson County, KY"	"21115"	10	45572	Unreliable
	"Kenton County, KY"	"21117"	46	330344	13.92
	"Knox County, KY"	"21121"	13	62914	Unreliable
	"Laurel County, KY"	"21125"	18	120424	Unreliable
	"Letcher County, KY"	"21133"	10	45112	Unreliable
	"McCracken County, KY"	"21145"	13	130547	Unreliable
	"Madison County, KY"	"21151"	25	180773	13.83
	"Meade County, KY"	"21163"	13	56280	Unreliable
	"Montgomery County, KY"	"21173"	11	55699	Unreliable
	"Nelson County, KY"	"21179"	18	91199	Unreliable
	"Oldham County, KY"	"21185"	17	131975	Unreliable
	"Pike County, KY"	"21195"	15	119438	Unreliable
	"Pulaski County, KY"	"21199"	20	128405	15.58
	"Scott County, KY"	"21209"	18	108845	Unreliable
	"Shelby County, KY"	"21211"	10	93829	Unreliable
	"Warren County, KY"	"21227"	29	254377	11.40
	"Whitley County, KY"	"21235"	18	72310	Unreliable
	"Acadia Parish, LA"	"22001"	26	125235	20.76
	"Ascension Parish, LA"	"22005"	35	244535	14.31
	"Bossier Parish, LA"	"22015"	37	253691	14.58
	"Caddo Parish, LA"	"22017"	101	495432	20.39
	"Calcasieu Parish, LA"	"22019"	68	403046	16.87
	"East Baton Rouge Parish, LA"	"22033"	117	893305	13.10
	"Iberia Parish, LA"	"22045"	16	145449	Unreliable
	"Jefferson Parish, LA"	"22051"	124	875559	14.16
	"Jefferson Davis Parish, LA"	"22053"	13	62890	Unreliable
	"Lafayette Parish, LA"	"22055"	53	483883	10.95
	"Lafourche Parish, LA"	"22057"	26	196731	13.22
	"Lincoln Parish, LA"	"22061"	23	95489	24.09
	"Livingston Parish, LA"	"22063"	21	278366	7.54
	"Natchitoches Parish, LA"	"22069"	14	78183	Unreliable
	"Orleans Parish, LA"	"22071"	104	784787	13.25
	"Ouachita Parish, LA"	"22073"	44	312857	14.06
	"Rapides Parish, LA"	"22079"	55	264072	20.83
	"St. Bernard Parish, LA"	"22087"	11	91890	Unreliable
	"St. Charles Parish, LA"	"22089"	10	105672	Unreliable
	"St. John the Baptist Parish, LA"	"22095"	17	87072	Unreliable
	"St. Landry Parish, LA"	"22097"	27	167380	16.13
	"St. Martin Parish, LA"	"22099"	12	108178	Unreliable
	"St. Mary Parish, LA"	"22101"	16	103066	Unreliable
	"St. Tammany Parish, LA"	"22103"	68	509929	13.34
	"Tangipahoa Parish, LA"	"22105"	30	263207	11.40
	"Terrebonne Parish, LA"	"22109"	32	225306	14.20
	"Vermilion Parish, LA"	"22113"	19	120341	Unreliable
	"Vernon Parish, LA"	"22115"	13	101295	Unreliable
	"Washington Parish, LA"	"22117"	14	92943	Unreliable
	"Androscoggin County, ME"	"23001"	31	214970	14.42
	"Aroostook County, ME"	"23003"	20	135612	14.75
	"Cumberland County, ME"	"23005"	73	584541	12.49
	"Franklin County, ME"	"23007"	12	59989	Unreliable
	"Hancock County, ME"	"23009"	17	108916	Unreliable
	"Kennebec County, ME"	"23011"	41	242390	16.91
	"Knox County, ME"	"23013"	21	79534	26.40
	"Lincoln County, ME"	"23015"	12	68420	Unreliable
	"Oxford County, ME"	"23017"	12	114656	Unreliable
	"Penobscot County, ME"	"23019"	41	303763	13.50
	"Sagadahoc County, ME"	"23023"	12	70665	Unreliable
	"Somerset County, ME"	"23025"	16	101541	Unreliable
	"Waldo County, ME"	"23027"	10	79196	Unreliable
	"Washington County, ME"	"23029"	11	63043	Unreliable
	"York County, ME"	"23031"	56	406534	13.77
	"Allegany County, MD"	"24001"	19	143745	Unreliable
	"Anne Arundel County, MD"	"24003"	154	1141581	13.49
	"Baltimore County, MD"	"24005"	277	1663494	16.65
	"Calvert County, MD"	"24009"	26	182753	14.23
	"Caroline County, MD"	"24011"	10	66043	Unreliable
	"Carroll County, MD"	"24013"	38	335437	11.33
	"Cecil County, MD"	"24015"	24	205349	11.69
	"Charles County, MD"	"24017"	44	317405	13.86
	"Dorchester County, MD"	"24019"	14	64420	Unreliable
	"Frederick County, MD"	"24021"	53	499613	10.61
	"Garrett County, MD"	"24023"	14	58658	Unreliable
	"Harford County, MD"	"24025"	75	503192	14.90
	"Howard County, MD"	"24027"	68	638346	10.65
	"Montgomery County, MD"	"24031"	261	2102673	12.41
	"Prince George's County, MD"	"24033"	291	1820805	15.98
	"St. Mary's County, MD"	"24037"	28	225254	12.43
	"Washington County, MD"	"24043"	43	300870	14.29
	"Wicomico County, MD"	"24045"	30	205500	14.60
	"Worcester County, MD"	"24047"	18	103134	Unreliable
	"Baltimore city, MD"	"24510"	190	1226312	15.49
	"Barnstable County, MA"	"25001"	79	427720	18.47
	"Berkshire County, MA"	"25003"	43	253216	16.98
	"Bristol County, MA"	"25005"	142	1119807	12.68
	"Essex County, MA"	"25009"	172	1564223	11.00
	"Franklin County, MA"	"25011"	19	141084	Unreliable
	"Hampden County, MA"	"25013"	136	938285	14.49
	"Hampshire County, MA"	"25015"	46	323650	14.21
	"Middlesex County, MA"	"25017"	362	3192721	11.34
	"Norfolk County, MA"	"25021"	182	1397503	13.02
