pcp_rate09,pcp_rate10,pcp_rate11,pcp_rate12,pcp_rate13,pcp_rate14,pcp_rate15,pcp_rate16,pcp_rate17,fips,county
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01061,Geneva County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01063,Greene County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01065,Hale County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01067,Henry County
27.7,27.7,28.7,28.7,28,28,28,27.7,28.3,01069,Houston County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01071,Jackson County
19.1,19.1,27.2,27.2,27.2,26.6,25.9,25.9,25.9,01073,Jefferson County
28.7,28.7,28.7,28.7,28.7,NA,NA,NA,NA,01075,Lamar County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01077,Lauderdale County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01079,Lawrence County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01081,Lee County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01083,Limestone County
28.7,28.7,28.7,28.7,28.7,28.7,NA,28.7,28.7,01085,Lowndes County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01087,Macon County
27.2,27.2,28.3,28.3,28.3,28,28,27.7,28,01089,Madison County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01091,Marengo County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01093,Marion County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01095,Marshall County
27.2,27.2,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01097,Mobile County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01099,Monroe County
25.9,25.9,28.3,28,28,28,27.7,28,27.2,01101,Montgomery County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01103,Morgan County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01105,Perry County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01107,Pickens County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01109,Pike County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01111,Randolph County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01113,Russell County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01115,St. Clair County
27.7,27.7,28.3,28,28,28.3,28.6,28.3,28.3,01117,Shelby County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01119,Sumter County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01121,Talladega County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01123,Tallapoosa County
27.2,27.2,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01125,Tuscaloosa County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01127,Walker County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01129,Washington County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01131,Wilcox County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01133,Winston County
28,28,28.6,28.3,28.3,28.3,28.3,28,28,02000,Alaska
0,0,NA,NA,NA,NA,NA,NA,NA,02013,Aleutians East Borough
28.7,28.7,25.9,28,28.7,NA,28.7,28.7,28.7,02016,Aleutians West Census Area
25.3,25.3,27.7,27.2,27.2,27.2,26.6,25.9,25.9,02020,Anchorage Borough
28,28,27.7,27.2,28,26.6,26.6,26.6,25.3,02050,Bethel Census Area
0,0,0,0,0,0,0,0,0,02060,Bristol Bay Borough
0,0,0,0,0,0,0,0,0,02068,Denali Borough
12.6,12.6,10.7,12.6,16.9,19.1,12.6,12.6,9,02070,Dillingham Census Area
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.6,28.7,02090,Fairbanks North Star Borough
9,9,14.8,14.8,14.8,14.8,7.3,7.3,7.3,02100,Haines Borough
23.1,23.1,24.3,24.3,25.3,25.9,25.9,25.3,24.3,02110,Juneau Borough
28.7,28.7,28.6,28.7,28.6,28.7,28.7,28.7,28.7,02122,Kenai Peninsula Borough
25.3,25.3,26.6,27.2,27.7,27.7,28,28.6,28.6,02130,Ketchikan Gateway Borough
27.2,27.2,23.1,20.7,21.9,21.9,24.3,24.3,21.9,02150,Kodiak Island Borough
0,0,0,0,0,0,0,28.7,28.7,02164,Lake and Peninsula Borough
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,02170,Matanuska-Susitna Borough
28.7,28.7,26.6,27.7,26.6,28.6,28.7,26.6,28,02180,Nome Census Area
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,02185,North Slope Borough
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,02188,Northwest Arctic Borough
28.7,28.7,28,28.7,28.7,28.7,NA,NA,NA,02201,Prince of Wales-Outer Ketchikan Census Area
12.6,12.6,12.6,12.6,14.8,14.8,12.6,12.6,12.6,02220,Sitka Borough
0,0,NA,NA,NA,NA,NA,NA,NA,02232,Skagway-Hoonah-Angoon Census Area
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28,26.6,02240,Southeast Fairbanks Census Area
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,02261,Valdez-Cordova Census Area
0,0,NA,NA,NA,NA,NA,NA,NA,02270,Wade Hampton Census Area
19.1,19.1,25.3,20.7,20.7,16.9,NA,NA,NA,02280,Wrangell-Petersburg Census Area
0,0,0,0,0,0,0,0,0,02282,Yakutat Borough
0,0,28.7,28.7,28.7,28.7,28.7,28.7,28.7,02290,Yukon-Koyukuk Census Area
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04000,Arizona
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04001,Apache County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04003,Cochise County
28,28,28.7,28.7,28.7,28.6,28.6,28.6,28.6,04005,Coconino County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04007,Gila County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04009,Graham County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04011,Greenlee County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04012,La Paz County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04013,Maricopa County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04015,Mohave County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04017,Navajo County
27.7,27.7,28.6,28.6,28.6,28.6,28.6,28.6,28.6,04019,Pima County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04021,Pinal County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04023,Santa Cruz County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04025,Yavapai County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,04027,Yuma County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05000,Arkansas
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05001,Arkansas County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05003,Ashley County
28,28,28.7,27.7,28.6,28.3,28,28.3,28.7,05005,Baxter County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05007,Benton County
28.6,28.6,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05009,Boone County
27.7,27.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05011,Bradley County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05013,Calhoun County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05015,Carroll County
28.6,28.6,27.7,27.7,28,28,28,27.2,25.9,05017,Chicot County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05019,Clark County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05021,Clay County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05023,Cleburne County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05025,Cleveland County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05027,Columbia County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05029,Conway County
24.3,24.3,26.6,27.2,26.6,26.6,25.3,25.3,25.3,05031,Craighead County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05033,Crawford County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05035,Crittenden County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05037,Cross County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05039,Dallas County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05041,Desha County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05043,Drew County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05045,Faulkner County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05047,Franklin County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05049,Fulton County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.6,28,05051,Garland County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05053,Grant County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05055,Greene County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05057,Hempstead County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05059,Hot Spring County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05061,Howard County
27.2,27.2,28,28.3,27.2,27.7,28.3,28.3,28.3,05063,Independence County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05065,Izard County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05067,Jackson County
26.6,26.6,28.7,28.6,28.7,28.7,28.7,28.7,28.7,05069,Jefferson County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05071,Johnson County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05073,Lafayette County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05075,Lawrence County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05077,Lee County
0,0,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05079,Lincoln County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05081,Little River County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05083,Logan County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05085,Lonoke County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05087,Madison County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05089,Marion County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05091,Miller County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05093,Mississippi County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05095,Monroe County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05097,Montgomery County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05099,Nevada County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05101,Newton County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05103,Ouachita County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05105,Perry County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05107,Phillips County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05109,Pike County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05111,Poinsett County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05113,Polk County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05115,Pope County
28.7,28.7,NA,NA,NA,NA,NA,NA,NA,05117,Prairie County
19.1,19.1,26.6,25.9,25.9,25.9,25.9,25.3,25.3,05119,Pulaski County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05121,Randolph County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05123,St. Francis County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05125,Saline County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05127,Scott County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05129,Searcy County
23.1,23.1,25.3,25.3,25.3,25.3,24.3,24.3,23.1,05131,Sebastian County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05133,Sevier County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05135,Sharp County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05137,Stone County
27.2,27.2,28.7,28.7,28,28.7,28.7,28.7,28.7,05139,Union County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05141,Van Buren County
28,28,28.7,28.7,28.7,28.7,28.6,28.6,28.6,05143,Washington County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05145,White County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05147,Woodruff County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,05149,Yell County
27.7,27.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06000,California
23.1,23.1,27.2,27.2,26.6,25.9,25.9,26.6,25.9,06001,Alameda County
0,0,0,0,0,0,0,0,0,06003,Alpine County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06005,Amador County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06007,Butte County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06009,Calaveras County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06011,Colusa County
26.6,26.6,28,28,27.7,27.2,27.2,27.2,26.6,06013,Contra Costa County
28.7,28.7,28.7,28.7,28.7,28.7,28.6,28.7,28.7,06015,Del Norte County
28.6,28.6,28.7,28.7,28.7,28.7,28.7,28.7,28.6,06017,El Dorado County
28.6,28.6,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06019,Fresno County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06021,Glenn County
28.3,28.3,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06023,Humboldt County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06025,Imperial County
19.1,19.1,27.2,27.2,27.7,25.9,24.3,26.6,24.3,06027,Inyo County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06029,Kern County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06031,Kings County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06033,Lake County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06035,Lassen County
27.7,27.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06037,Los Angeles County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06039,Madera County
16.9,16.9,21.9,21.9,20.7,20.7,20.7,20.7,20.7,06041,Marin County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06043,Mariposa County
25.9,25.9,27.2,27.2,27.7,27.7,27.7,28,27.7,06045,Mendocino County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06047,Merced County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06049,Modoc County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06051,Mono County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06053,Monterey County
27.2,27.2,28.3,28.3,27.2,26.6,27.2,27.2,27.7,06055,Napa County
28.3,28.3,28.7,28.7,28.7,28.7,28.7,28.6,28.7,06057,Nevada County
25.9,25.9,27.7,27.7,27.7,27.2,27.7,27.7,27.2,06059,Orange County
24.3,24.3,25.9,25.9,25.3,24.3,24.3,24.3,24.3,06061,Placer County
27.7,27.7,28,27.2,28.7,28.7,27.2,27.2,28.6,06063,Plumas County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06065,Riverside County
27.2,27.2,28.7,28.7,28.7,28.6,28.6,28.6,28.6,06067,Sacramento County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06069,San Benito County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06071,San Bernardino County
27.7,27.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06073,San Diego County
12.6,12.6,20.7,20.7,19.1,19.1,19.1,19.1,19.1,06075,San Francisco County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06077,San Joaquin County
28.3,28.3,28.7,28.7,28.6,28.6,28.3,28.3,28.3,06079,San Luis Obispo County
24.3,24.3,27.7,27.2,27.2,27.2,26.6,26.6,26.6,06081,San Mateo County
27.2,27.2,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06083,Santa Barbara County
23.1,23.1,27.2,26.6,26.6,25.9,26.6,26.6,26.6,06085,Santa Clara County
25.9,25.9,27.2,27.2,27.2,27.2,27.2,27.2,27.2,06087,Santa Cruz County
28.7,28.7,28.6,28.7,28.7,28.6,28.7,28.7,28.7,06089,Shasta County
0,0,28.7,28.7,28.7,28.7,NA,28.7,28.7,06091,Sierra County
28.6,28.6,28.7,28.7,28.7,28.7,28.6,28.6,28.7,06093,Siskiyou County
28.6,28.6,28.7,28.7,28.7,28.6,28.6,28.6,28.7,06095,Solano County
25.9,25.9,27.7,27.7,27.2,27.2,27.2,27.2,26.6,06097,Sonoma County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06099,Stanislaus County
27.7,27.7,28.6,28,28,28.3,28.3,28.6,28.7,06101,Sutter County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06103,Tehama County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06105,Trinity County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06107,Tulare County
28.6,28.6,27.7,27.7,27.7,27.7,28,28.3,28.3,06109,Tuolumne County
28.3,28.3,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06111,Ventura County
21.9,21.9,25.9,25.3,25.3,24.3,24.3,24.3,24.3,06113,Yolo County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,06115,Yuba County
28,28,28.7,28.7,28.7,28.6,28.6,28.6,28.6,08000,Colorado
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08001,Adams County
25.3,25.3,25.3,23.1,23.1,25.3,24.3,25.9,28.7,08003,Alamosa County
27.7,27.7,28.7,28.7,28.6,28.6,28.3,28.3,28.3,08005,Arapahoe County
28.7,28.7,28.7,28.6,28.6,28,28,28,28.3,08007,Archuleta County
28.7,28.7,28.7,28.7,28.7,21.9,25.9,25.9,28.3,08009,Baca County
0,0,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08011,Bent County
21.9,21.9,24.3,24.3,24.3,23.1,23.1,24.3,24.3,08013,Boulder County
27.7,27.7,27.2,27.2,26.6,25.9,26.6,25.9,26.6,08014,Broomfield County
26.6,26.6,25.3,26.6,27.2,27.7,27.2,27.7,28,08015,Chaffee County
25.3,25.3,25.9,28.7,25.9,28.7,28.7,28.7,28.7,08017,Cheyenne County
28.7,28.7,28.7,NA,NA,NA,NA,NA,NA,08019,Clear Creek County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08021,Conejos County
0,0,NA,NA,NA,NA,NA,NA,NA,08023,Costilla County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08025,Crowley County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08027,Custer County
28,28,28.3,28.3,28.3,28.7,28.7,28.7,28.7,08029,Delta County
16.9,16.9,25.3,24.3,25.3,23.1,23.1,23.1,23.1,08031,Denver County
26.6,26.6,28.7,28.7,0,NA,0,0,NA,08033,Dolores County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08035,Douglas County
28,28,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08037,Eagle County
0,0,NA,NA,NA,NA,NA,28.7,28.7,08039,Elbert County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08041,El Paso County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08043,Fremont County
28.7,28.7,28.7,28.7,28.7,28.7,28.6,28.3,28.3,08045,Garfield County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08047,Gilpin County
27.7,27.7,28.7,28,28.7,28.7,28.7,28.7,28.7,08049,Grand County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08051,Gunnison County
24.3,24.3,24.3,24.3,24.3,24.3,0,0,0,08053,Hinsdale County
28.7,28.7,28.7,28.7,28.7,25.9,25.9,27.7,28,08055,Huerfano County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08057,Jackson County
27.7,27.7,28.3,28.3,28.3,28.3,28.6,28.6,28.6,08059,Jefferson County
0,0,21.9,28.7,0,0,28.7,0,0,08061,Kiowa County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08063,Kit Carson County
28.7,28.7,28.7,28.7,28.7,28.7,28.6,28.6,28.7,08065,Lake County
25.9,25.9,26.6,27.2,26.6,27.2,27.2,26.6,25.9,08067,La Plata County
28,28,28.7,28,28,28,28.3,28.3,28,08069,Larimer County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08071,Las Animas County
28.7,28.7,27.7,28.7,28.7,28.7,28.7,28.7,28.7,08073,Lincoln County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08075,Logan County
28.3,28.3,27.7,27.7,26.6,26.6,25.9,25.9,25.9,08077,Mesa County
25.9,25.9,21.9,21.9,21.9,21.9,20.7,21.9,21.9,08079,Mineral County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08081,Moffat County
28.7,28.7,28.3,28.7,28.6,27.7,27.7,28.7,28.3,08083,Montezuma County
28.7,28.7,28.6,28.7,28.7,28.7,28.7,28.7,28.7,08085,Montrose County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08087,Morgan County
28.7,28.7,28.7,28.7,28.3,28.6,28.7,28.7,28.7,08089,Otero County
16.9,16.9,16.9,19.1,25.9,23.1,25.9,25.9,26.6,08091,Ouray County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08093,Park County
28.7,28.7,28.7,25.3,27.7,27.7,27.7,25.3,21.9,08095,Phillips County
25.9,25.9,28.7,28.7,28.7,28.6,28.3,28.3,28.7,08097,Pitkin County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08099,Prowers County
28,28,28.6,28.7,28.7,28.7,28.7,28.7,28.7,08101,Pueblo County
21.9,21.9,28,28.7,28,23.1,21.9,24.3,20.7,08103,Rio Blanco County
28.7,28.7,28.7,28.7,28.7,28.7,26.6,26.6,25.3,08105,Rio Grande County
25.9,25.9,26.6,26.6,26.6,24.3,25.3,24.3,25.3,08107,Routt County
28.7,28.7,28.7,28.6,28.7,28.6,28.7,28.7,28.7,08109,Saguache County
0,0,0,0,20.7,20.7,21.9,21.9,20.7,08111,San Juan County
25.9,25.9,27.7,28.7,28.7,28.7,28.7,28.7,28.7,08113,San Miguel County
28.3,28.3,23.1,28.3,28.3,28.3,28.3,28.7,28.6,08115,Sedgwick County
26.6,26.6,28,26.6,28.7,28.7,28.6,28.7,28.7,08117,Summit County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,08119,Teller County
28.7,28.7,NA,NA,NA,28.7,28.7,28.7,28.7,08121,Washington County
