v129_rawvalue_11,v129_rawvalue_12,v129_rawvalue_13,v129_rawvalue_14,v129_rawvalue_15,v129_rawvalue_16,v129_rawvalue_17,fips,county
26,26,26,26,26,26,26,13113,Fayette County
22.4,23.2,23.2,23.2,24,25.6,25.6,13115,Floyd County
26,26,26,26,26,26,26,13117,Forsyth County
26,NA,24,NA,NA,NA,NA,13119,Franklin County
25.6,25.6,26,26,26,26,26,13121,Fulton County
26,23.2,24,NA,NA,NA,NA,13123,Gilmer County
NA,NA,NA,NA,NA,NA,NA,13125,Glascock County
24,24.8,24.8,24.8,24.8,25.6,26,13127,Glynn County
26,25.6,26,26,26,26,26,13129,Gordon County
26,24.8,26,NA,NA,NA,25.6,13131,Grady County
NA,NA,NA,NA,NA,NA,NA,13133,Greene County
26,26,26,26,26,26,26,13135,Gwinnett County
26,NA,NA,NA,NA,NA,NA,13137,Habersham County
26,26,26,26,26,26,26,13139,Hall County
NA,NA,NA,NA,NA,NA,NA,13141,Hancock County
26,NA,NA,NA,NA,NA,NA,13143,Haralson County
24.8,NA,NA,NA,NA,NA,NA,13145,Harris County
NA,NA,NA,NA,NA,NA,NA,13147,Hart County
NA,NA,NA,NA,NA,NA,NA,13149,Heard County
26,26,26,26,26,26,26,13151,Henry County
24.8,24.8,24.8,25.6,25.6,26,26,13153,Houston County
NA,NA,NA,NA,NA,NA,NA,13155,Irwin County
26,25.6,26,26,26,26,26,13157,Jackson County
22.4,NA,NA,NA,NA,NA,NA,13159,Jasper County
NA,NA,NA,NA,NA,NA,NA,13161,Jeff Davis County
24.8,NA,NA,NA,NA,20.5,NA,13163,Jefferson County
NA,NA,NA,NA,NA,NA,NA,13165,Jenkins County
NA,NA,NA,NA,NA,NA,NA,13167,Johnson County
26,22.4,NA,NA,NA,NA,NA,13169,Jones County
24,NA,NA,NA,NA,NA,NA,13171,Lamar County
23.2,NA,NA,NA,NA,NA,NA,13173,Lanier County
